Formula,Ecuaci�n,Stock,Sistem�tica,Tradicional
HgO,Nomenclatura sistemática: monóxido de mercurio,Nomenclatura stock: óxido de mercurio (II),Nomenclatura tradicional: óxido mercúrico,2Hg + O2 = 2HgO
PbO2,Nomenclatura sistemática: dióxido de plomo,Nomenclatura stock: óxido de plomo (IV),Nomenclatura tradicional: óxido plúmbico,N/A
Al2O3,Nomenclatura sistemática: trióxido de dialuminio,Nomenclatura stock: óxido de aluminio,Nomenclatura tradicional: óxido alumínico,N/A
Co2O3,Nomenclatura sistemática: trióxido de dicobalto,Nomenclatura stock: óxido de cobalto (III),Nomenclatura tradicional: óxido cobáltico,3O2 + 4Co = 2Co2O3
Ag2O,Nomenclatura sistemática: monóxido de diplata,Nomenclatura stock: óxido de plata,Nomenclatura tradicional: óxido argéntico,4Ag + O2 = 2Ag2O
Fe2O3,Nomenclatura sistemática: trióxido de dihierro,Nomenclatura stock: óxido de hierro (III),Nomenclatura tradicional: óxido férrico,4FeO + O2 = 2Fe2O3
CrO3,Nomenclatura sistemática: trióxido de cromo,Nomenclatura stock: óxido de cromo (VI),Nomenclatura tradicional: anhídrido crómico,2Cr + 3O2 = 2CrO3
Anhídridos (no metal + oxígeno),N/A,N/A,N/A,N/A
Bi2O5,Nomenclatura sistemática: pentaóxido de dibismuto,Nomenclatura stock: óxido de bismuto (V),Nomenclatura tradicional: óxido bismútico,4Bi + 5O2 = 2Bi2O5
SnO,Nomenclatura sistemática: monóxido de estaño,Nomenclatura stock: óxido de estaño (II),Nomenclatura tradicional: óxido estañoso,2Sn + O2 = 2SnO

Rh(OH)2,Nomenclatura sistemática: dihidróxido de rodio,Nomenclatura stock: hidróxido de rodio (II),Nomenclatura tradicional: hidróxido hiporodioso,N/A
Re(OH)4,Nomenclatura sistemática: tetrahidróxido de renio,Nomenclatura stock: hidróxido de renio (IV),Tipo de compuesto: hidróxido,N/A
Pd(OH)4,Nomenclatura sistemática: tetrahidróxido de paladio,Nomenclatura stock: hidróxido de paladio (IV),Nomenclatura tradicional: hidróxido paládico,N/A
Mn(OH)3,Nomenclatura sistemática: trihidróxido de manganeso,Nomenclatura stock: hidróxido de manganeso (III),Nomenclatura tradicional: hidróxido mangánico,N/A
Ir(OH)4,Nomenclatura sistemática: tetrahidróxido de iridio,Nomenclatura stock: hidróxido de iridio (IV),Nomenclatura tradicional: hidróxido irídico,N/A
Os(OH)4,Nomenclatura sistemática: tetrahidróxido de osmio,Nomenclatura stock: hidróxido de osmio (IV),Tipo de compuesto: hidróxido,N/A

